,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Paperless_Billing,Monthly_Charges,Total_Charges,Internet_Service_DSL,Internet_Service_Fiber optic,Internet_Service_No,Contract_Month-to-month,Contract_One year,Contract_Two year,Payment_Method_Bank transfer (automatic),Payment_Method_Credit card (automatic),Payment_Method_Electronic check,Payment_Method_Mailed check,x_kpca_rbf,y_kpca_rbf,z_kpca_rbf,cluster_kpca_rbf
0,1,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,0,0,1,0,0,0,0,0,1,0.11861799372771017,0.13210205514781515,0.3785225981865958,1
1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,70.7,151.65,0,1,0,1,0,0,0,0,1,0,-0.08853779902982657,0.41017754074224233,-0.018236173057717207,2
2,0,0,0,1,8,1,1,0,0,1,0,1,1,1,99.65,820.5,0,1,0,1,0,0,0,0,1,0,-0.28018339299977846,0.17473710565692463,-0.15786042967764774,2
3,0,0,1,1,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,0,1,0,1,0,0,0,0,1,0,-0.28095650334837274,-0.015741028356058066,-0.14261043117718133,2
4,1,0,0,1,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,0,1,0,1,0,0,1,0,0,0,-0.22692378352736547,-0.1338391709509263,-0.0944596781277171,3
5,0,0,1,0,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,0,0,1,0,0,0,1,0,0,0.04621741107882785,-0.013188326320913258,0.22224574703993932,1
6,1,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,0,0,1,0,0,0,0,1,0,-0.05061979419047075,0.031050951150684854,0.19297335956999892,1
7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,0,0,1,1,0,0,0,0,0,1,0.5760937868046353,0.23902413667256198,0.07669442206767377,0
8,1,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,0,1,0,1,0,0,0,0,1,0,-0.29721609979380725,-0.00926904971003077,-0.19549090422349855,2
9,1,0,1,0,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,0,0,1,0,0,0,0,1,0,0.0347567983415564,0.04060332644652755,0.2705859480893893,1
