Index,Gender,Senior_Citizen,Partner,Dependents,Tenure_Months,Phone_Service,Multiple_Lines,Online_Security,Online_Backup,Device_Protection,Tech_Support,Streaming_TV,Streaming_Movies,Paperless_Billing,Monthly_Charges,Total_Charges,Internet_Service_DSL,Internet_Service_Fiber optic,Internet_Service_No,Contract_Month-to-month,Contract_One year,Contract_Two year,Payment_Method_Bank transfer (automatic),Payment_Method_Credit card (automatic),Payment_Method_Electronic check,Payment_Method_Mailed check,x_kpca_rbf,y_kpca_rbf,z_kpca_rbf
0,1,0,0,0,2,1,0,1,1,0,0,0,0,1,53.85,108.15,1,0,0,1,0,0,0,0,0,1,0.06592177931827796,0.1399511809801134,0.33662985191733524
1,0,0,0,1,2,1,0,0,0,0,0,0,0,1,70.7,151.65,0,1,0,1,0,0,0,0,1,0,-0.1481830824219592,0.38517568890918596,-0.022333940202511525
2,0,0,0,1,8,1,1,0,0,1,0,1,1,1,99.65,820.5,0,1,0,1,0,0,0,0,1,0,-0.2856555759343226,0.15579149150882243,-0.15768656164466557
3,0,0,1,1,28,1,1,0,0,1,1,1,1,1,104.8,3046.05,0,1,0,1,0,0,0,0,1,0,-0.26229283252353175,-0.01702608709315206,-0.14038575953503635
4,1,0,0,1,49,1,1,0,1,1,0,1,1,1,103.7,5036.3,0,1,0,1,0,0,1,0,0,0,-0.20059899342684162,-0.12120741522110445,-0.09137312983538158
5,0,0,1,0,10,1,0,0,0,1,1,0,0,0,55.2,528.35,1,0,0,1,0,0,0,1,0,0,0.01922545419394843,0.0058259955197079456,0.19303487981238351
6,1,1,0,0,1,0,0,0,0,1,0,0,1,1,39.65,39.65,1,0,0,1,0,0,0,0,1,0,-0.06423416958656439,0.03253698138498229,0.16206141646427777
7,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20.15,20.15,0,0,1,1,0,0,0,0,0,1,0.4370629867907543,0.2765480018228948,0.11795268741586296
8,1,0,1,1,47,1,1,0,1,0,0,1,1,1,99.35,4749.15,0,1,0,1,0,0,0,0,1,0,-0.27705784073371603,-0.012165419156707718,-0.18565321820200312
9,1,0,1,0,1,0,0,0,1,0,0,0,0,0,30.2,30.2,1,0,0,1,0,0,0,0,1,0,0.007237862832825075,0.04867494159092386,0.2335983270808346
10,0,0,0,0,17,1,0,0,0,0,0,1,1,1,64.7,1093.1,1,0,0,1,0,0,0,0,0,1,-0.0035488861052968765,0.1664594681394586,0.23440311370205902
